id,created_at,litter_id,mother_id,father_id,birth_date,death_date,missing_since,status,name,eye_color,fur_pattern,fur_length,gender,notes,fur_color
83,2025-10-05 06:29:34.918627+00,17,46,,2024-06-09 09:41:00+00,2024-08-17 00:00:00+00,,dead,,green,tortoiseshell,short,,,"[""black"",""orange""]"
84,2025-10-05 06:31:22.583069+00,17,46,,2024-06-09 11:35:00+00,2025-11-17 18:30:00+00,,dead,Lorenzo Alberto Benini The Orange The Second,green,mackerel_tabby,short,male,,"[""orange""]"
85,2025-10-05 06:33:55.970509+00,18,46,,2025-05-31 08:30:00+00,2025-05-31 08:30:00+00,,dead,,,calico,medium,,,"[""white"",""black"",""orange""]"
86,2025-10-05 06:35:31.90183+00,18,46,,2025-05-31 08:35:00+00,2025-07-17 00:00:00+00,,dead,Alfonso Alberto Benini The second,green,tuxedo,short,male,,"[""orange"",""white""]"
87,2025-10-05 06:37:35.920803+00,18,46,,2025-05-31 08:40:00+00,2025-07-20 00:00:00+00,,dead,Benicio del toro Benini The Third,green,mackerel_tabby,short,male,,"[""cream""]"
88,2025-10-05 06:39:11.271443+00,18,46,,2025-05-31 08:38:00+00,,,alive,Baheera,green,mackerel_tabby,short,female,,"[""brown"",""white""]"
89,2025-10-05 06:43:14.658909+00,19,46,,2025-09-07 03:01:00+00,2025-11-08 00:00:00+00,,dead,Riccardo Alberto Benini The second,green,mackerel_tabby,short,male,,"[""orange""]"
90,2025-10-05 06:44:30.437144+00,19,46,,2025-09-07 03:02:00+00,2025-11-01 00:00:00+00,,dead,Antonio Alberto Benini The second,green,mackerel_tabby,short,male,,"[""orange""]"
91,2025-10-05 06:48:14.263132+00,,,,,2021-05-24 00:00:00+00,,dead,Shamshoone,green,mackerel_tabby,short,male,"first ever cat
stole him from the street
egyptian miao","[""grey""]"
93,2026-04-17 12:15:13+00,20,45,,2026-03-07 07:57:00+00,,,alive,moneer,green,classic_tabby,short,male,,"[""olive"",""black""]"
94,2026-04-17 12:18:08.064608+00,20,45,,2026-03-07 10:00:00+00,2026-03-07 10:00:00+00,,dead,,,,,,,
95,2026-04-17 12:19:35.474736+00,20,45,,2026-03-07 11:38:00+00,2026-03-07 11:38:00+00,,dead,,,tuxedo,short,,,"[""orange"",""white""]"
96,2026-04-17 12:27:25.451349+00,21,72,,2026-03-28 00:00:00+00,2026-03-30 00:00:00+00,,dead,,,classic_tabby,,,,"[""olive"",""black"",""white""]"
97,2026-04-17 12:28:28.957754+00,21,72,,2026-03-28 00:00:00+00,2026-03-31 04:30:00+00,,dead,,,classic_tabby,,,,"[""black"",""olive""]"
98,2026-04-17 12:29:26.842161+00,21,72,,2026-03-28 00:00:00+00,2026-03-31 05:34:00+00,,dead,,,solid,,,,"[""white""]"
99,2026-04-17 12:33:50.577759+00,22,88,,2026-04-05 00:00:00+00,,,alive,,green,solid,,male,,"[""black""]"
100,2026-04-17 12:35:17.933633+00,22,88,,2026-04-05 00:00:00+00,,,alive,,green,classic_tabby,,male,,"[""white"",""olive""]"
101,2026-04-17 12:37:50.381101+00,22,88,,2026-04-05 00:00:00+00,,,alive,,green,tuxedo,short,female,solid black back,"[""black"",""white""]"
102,2026-04-17 12:38:51.956262+00,22,88,,2026-04-05 00:00:00+00,,,alive,,green,tuxedo,short,female,solid black back with a white line,"[""black"",""white""]"
103,2026-04-17 12:40:49.841317+00,22,88,,2026-04-05 00:00:00+00,,,alive,,green,tuxedo,short,female,black back with a white neck pinch,"[""black"",""white""]"
